prelim_gap_id,prelim_gap_description,gap_library_id,gap_library_description,relevancy_score,IEP Entry ID,Mission,Mission or Installation Wide,Resource Category,Installation(s),Installation_Cd,Gap_Or_Opportunity?,gap_id,Problem,GapToStrat_relatedness_score,strategy_id,General Solution Description ,TechToStrat_relevancy_score,technology_id,Technology,Cost Per Building Low ($),Cost Per Building High ($),Cost Estimation Logic,Installation,Strat_ID,Strategy / Capability,Scale,Impact_Potential,MSS3,% Impact_Potential,MAJCOM,Installation_Name,Million_BTU_FY24_AEPRR,Energy_Cost($),Total_Facility_SF,Building_Count,Combined_Relevency Score,Row_ID
24,There are no automatic sectionalizers on distribution lines. The base relies on manual operation of switches. This can extend the length of an outage while the faulted section is identified and isolated manually. ,40.0,Lacking electrical transmission distribution controls,95.0,G22,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Gap,40,Lacking electrical transmission distribution controls,95.0,132.0,Remote Substation Controls / Operations,100.0,7.0,Substations,250000.0,600000.0,Implementation of distribution control systems for substations. Includes automation equipment and control hardware/software.,Altus Air Force Base,132,Remote Substation Controls / Operations (Installation Level),Installation,39.560439560439555,65.93406594725275,0.5999999998799999,AETC,ALTUS AFB,259082.315328877,3602602.98366349,2266885.21,161,95.0,1
28,"The three gates and associated final denial barriers have assigned, portable backup generators. However, there is no automatic transfer to backup power generation. There would be a delay to locate, connect, and start the portable backup power generation in an outage. Manual operation of the final denial barriers is impractical and time-consuming.",47.0,"Requirements are inadequately manual, automated / modernized system is needed",95.0,G3,_ALL INSTALLATION,Installation,Backup Power,ALTUS AFB,AGGN,Resilience Gap,47,"Requirements are inadequately manual, automated / modernized system is needed",90.0,154.0,Installation-wide SCADA System (Water),100.0,21.0,Water System Management & Monitoring,38333.3333,125000.0,"Cost per building for installing submeters. Range increased for retrofit (cutting into existing pipes, potentially difficult locations) and integrating with central data collection/AMR system. Depends",Altus Air Force Base,154,Installation-wide SCADA System (Water),Installation,59.340659340659336,59.340659340659336,1.0,AETC,ALTUS AFB,259082.315328877,3602602.98366349,2266885.21,161,95.0,2
29,The substation lacks an upgraded substation control package that would provide remote control capabilities.,32.0,Lacking or no access to remote controls / operations,95.0,G26,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Gap,32,Lacking or no access to remote controls / operations,95.0,132.0,Remote Substation Controls / Operations,100.0,7.0,Substations,200000.0,500000.0,"Implementation of remote control systems for substations. Includes SCADA equipment, communications, and control hardware/software.",Altus Air Force Base,132,Remote Substation Controls / Operations (Installation Level),Installation,39.560439560439555,65.93406594725275,0.5999999998799999,AETC,ALTUS AFB,259082.315328877,3602602.98366349,2266885.21,161,95.0,3
30,"The installation has one diesel truck with a 1,200-gallon capacity for refueling base generators. The truck has been sufficient, although for a base-wide outage, a second refueling truck would provide the additional refueling capacity and redundancy, as long as there is capacity to keep both trucks properly maintained. The service station does not have a backup generator, which means that truck capacity is also important to keeping emergency vehicles fueled with diesel and MOGAS.",12.0,Lacks adequate resupply/refueling protocol/logistics,95.0,G1,_ALL INSTALLATION,Installation,Backup Power,ALTUS AFB,AGGN,Resilience Opportunity,12,Lacks adequate resupply/refueling protocol/logistics,95.0,19.0,Backup Generator Refueling Logistics,85.0,11.0,Generator Reliability,90000.0,225000.0,"Development of comprehensive refueling logistics. Includes contracts, delivery arrangements, and emergency protocols.",Altus Air Force Base,19,Backup Generator Refueling Logistics,Installation,114.65230078915239,191.08716802013808,0.59999999988,AETC,ALTUS AFB,259082.315328877,3602602.98366349,2266885.21,161,80.75,4
31,"The installation has a 1970s-era, air-insulated switching station, and the equipment needs to be upgraded because parts are becoming more difficult to find. There is one transmission line coming in overhead to the baseΓÇÖs substation. The poles for the line along the mile between where it enters the substation and the city's radio loop are aged and in need of replacement by WFEC.",17.0,Asset is aged / lacking adequate performance,95.0,G21,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Gap,17,Asset is aged / lacking adequate performance,85.0,123.0,Adequate Electrical Transmission Condition,85.0,14.0,Power Quality,400000.0,1000000.0,"Transmission system upgrades with power quality focus. Includes conditioning equipment, regulators, and monitoring.",Altus Air Force Base,123,Adequate Electrical Transmission Condition (Installation Level),Installation,80.06841338978046,106.7578844930178,0.7500000001875001,AETC,ALTUS AFB,259082.315328877,3602602.98366349,2266885.21,161,80.75,5
31,"The installation has a 1970s-era, air-insulated switching station, and the equipment needs to be upgraded because parts are becoming more difficult to find. There is one transmission line coming in overhead to the baseΓÇÖs substation. The poles for the line along the mile between where it enters the substation and the city's radio loop are aged and in need of replacement by WFEC.",17.0,Asset is aged / lacking adequate performance,95.0,G21,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Gap,17,Asset is aged / lacking adequate performance,85.0,123.0,Adequate Electrical Transmission Condition,85.0,7.0,Substations,600000.0,1500000.0,"Upgrades to aged transmission equipment serving building's substation. Includes conductors, structures, and termination equipment.",Altus Air Force Base,123,Adequate Electrical Transmission Condition (Installation Level),Installation,80.06841338978046,106.7578844930178,0.7500000001875001,AETC,ALTUS AFB,259082.315328877,3602602.98366349,2266885.21,161,80.75,6
36,"The base can keep operations running solely on the 9 MW standby generator system during an outage. However, the lack of on-base generation means that islanding is fully reliant on the delivery of diesel fuel. The base also lacks the controls for a fully functional microgrid. The 9 MW standby generator system is not connected to the adjacent housing.",33.0,Requires Microgrid solution,95.0,G24,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Opportunity,33,Requires Microgrid solution,95.0,127.0,Installation Microgrid,100.0,12.0,Microgrid,500000.0,1500000.0,"Building-specific microgrid implementation. Includes local generation, storage, controls, and grid interconnection capabilities.",Altus Air Force Base,127,Installation Microgrid,Installation,112.37869396280195,187.29782330879615,0.59999999988,AETC,ALTUS AFB,259082.315328877,3602602.98366349,2266885.21,161,95.0,7
44,"Most overhead equipment and all distribution lines have been relocated underground. However, the switching station near the front gate remains a vulnerability for the base. During the last two ice storms, aboveground switches have frozen and stuck. Conductors that are too close together are the cause of occasional shorts from animal intrusion. The switching station has been the largest cause of outages since the overhead equipment was relocated underground.",37.0,Lacking┬á or no access to┬á hardening / safety or security improvements,95.0,G23,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Gap,37,Lacking or no access to hardening / safety or security improvements,95.0,156.0,Water Distribution Hardening Strategies,95.0,22.0,Water System Resilience Infrastructure,27833.3333,93333.3333,"Allocated cost per building (~135) for developing system-wide protocol, communication plan, potentially integrating alerts into existing systems. Primarily planning/admin cost.",Altus Air Force Base,156,Water Distribution Hardening Strategies (Installation Level),Installation,35.36993229464068,58.94988716952443,0.5999999998800001,AETC,ALTUS AFB,259082.315328877,3602602.98366349,2266885.21,161,90.25,8
48,"During an outage, the base must send personnel to the compromised location, which compared to a grid operatorΓÇÖs ability to reroute the power supply remotely, increases recovery time. Non-critical systems may be shut down to conserve energy during an outage, but shutdown would have to be done manually at the equipment level, where the EMCS is not operational.",32.0,Lacking or no access to remote controls / operations,95.0,G25,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Opportunity,32,Lacking or no access to remote controls / operations,95.0,132.0,Remote Substation Controls / Operations,100.0,7.0,Substations,200000.0,500000.0,"Implementation of remote control systems for substations. Includes SCADA equipment, communications, and control hardware/software.",Altus Air Force Base,132,Remote Substation Controls / Operations (Installation Level),Installation,39.560439560439555,65.93406594725275,0.5999999998799999,AETC,ALTUS AFB,259082.315328877,3602602.98366349,2266885.21,161,95.0,9
49,"Both ramps have backup generators for aviation fuel pumps, but the South Ramp generator needs replacement. The generator is old and obsolete, making it difficult to find replacement parts. The capacity is also insufficient, as it cannot support the whole ramp, just  Additionally, the bulk storage area, which includes aviation fuel and diesel storage, does not have a permanent generator. Pumps are needed for both filling the tanks and dispensing diesel fuel. The bulk storage area has a quick-connect available for Power Production (Power Pro) to connect a portable generator and would be considered a high priority for getting connected. However, there could be a delay in the time it takes to locate and connect the mobile generator, which could further delay diesel distribution to vehicles and generators and the ability to receive aviation fuel into bulk storage.a couple of the pumps, which means flow rates go down in an outage.",17.0,Asset is aged / lacking adequate performance,95.0,G2,_ALL INSTALLATION,Installation,Backup Power,ALTUS AFB,AGGN,Resilience Gap,17,Asset is aged / lacking adequate performance,85.0,123.0,Adequate Electrical Transmission Condition,85.0,14.0,Power Quality,400000.0,1000000.0,"Transmission system upgrades with power quality focus. Includes conditioning equipment, regulators, and monitoring.",Altus Air Force Base,123,Adequate Electrical Transmission Condition (Installation Level),Installation,80.06841338978046,106.7578844930178,0.7500000001875001,AETC,ALTUS AFB,259082.315328877,3602602.98366349,2266885.21,161,80.75,10
