Installation_Cd,Installation,Installation_IEP_Score,Installation_IEP_Score_pre,REAF_Score_Improvement,Technology
AGGN,Altus Air Force Base,84.9673778921013,82.15791054303125,2.8094673490700472,Microgrid
AJXF,JB Andrews,67.82457487157515,64.55252413807591,3.272050733499242,Microgrid
ANZY,Arnold,68.53349246439736,68.53349246439736,0.0,Microgrid
ASHE,Aviano AB,83.60499834940359,80.69886576450001,2.906132584903574,Microgrid
AWUB,Barksdale,89.57235215930827,86.81049687673621,2.761855282572057,Microgrid
BAEY,Beale,63.416665716706426,63.416665716706426,0.0,Microgrid
CRWU,Buckley,79.12137864654916,77.4224752296771,1.6989034168720565,Microgrid
CZQZ,Cannon,72.2927408619342,72.2927408619342,0.0,Microgrid
DKFX,JB Charleston - AB,82.93158765047147,81.48214289329887,1.4494447571726,Microgrid
FBNV,Davis-Monthan,74.8517036648232,74.8517036648232,0.0,Microgrid
FGWB,Dobbins ARB,79.2623277554778,77.91453064841095,1.347797107066853,Microgrid
FJXT,Dover,78.43366653144149,78.3974346473835,0.036231884057983166,Microgrid
FSPM,Edwards,76.6878813591671,76.6878813591671,0.0,Microgrid
FTEV,Hurlburt Field,84.71318132788787,83.68592003893346,1.0272612889544064,Microgrid
FTFA,Eglin,75.95981818266382,74.03101068940677,1.9288074932570538,Microgrid
FTQW,Eielson,92.50698653633415,89.34215235584428,3.1648341804898763,Microgrid
FXBM,Ellsworth,85.45318039137584,85.45318039137584,0.0,Microgrid
FXSB,JBER AK,65.2297981523225,61.453668437118736,3.7761297152037656,Microgrid
GHLN,FE Warren,84.76210507978453,81.74385516170193,3.018249918082603,Microgrid
GJKZ,Fairchild,81.89382754206413,81.844807934221,0.049019607843135304,Microgrid
GLEN,Schriever,79.41234423204396,76.80028271035404,2.612061521689924,Microgrid
JBAB,JBAB,48.764114352084924,45.53005663455244,3.2340577175324867,Microgrid
JFSD,Grand Forks,95.94288029173065,95.94288029173065,0.0,Microgrid
KRSM,Hill,86.57578247558743,86.44757734738229,0.1282051282051384,Microgrid
LKTC,Creech,58.89369511289543,58.85746322883746,0.036231884057968955,Microgrid
LXEZ,Kadena AB,70.91701450477134,69.89279081951837,1.0242236852529771,Microgrid
MAHG,Keesler,85.53385061345001,85.53385061345001,0.0,Microgrid
MHMV,Kirtland,84.62539457321546,84.62539457321546,0.0,Microgrid
MSET,RAF Lakenheath,88.70023822542652,87.91948746277177,0.7807507626547476,Microgrid
MUHJ,JBLE-Eustis,84.34233244235489,84.34233244235489,0.0,Microgrid
