prelim_gap_id,prelim_gap_description,gap_library_id,gap_library_description,relevancy_score,IEP Entry ID,Mission,Mission or Installation Wide,Resource Category,Installation(s),Installation_Cd,Gap_Or_Opportunity?
8,"Reportedly, full-load testing and hard drops on the MOC generator have not been completed.",4,Generator requires adequate sizing / testing,95,M2-G2,Maintenance Mission Set,Mission,Power,ALTUS AFB,AGGN,Resilience Gap
8,"Reportedly, full-load testing and hard drops on the MOC generator have not been completed.",19,Lacking or no access to preventative maintenance / personnel / training / protocol,75,M2-G2,Maintenance Mission Set,Mission,Power,ALTUS AFB,AGGN,Resilience Gap
8,"Reportedly, full-load testing and hard drops on the MOC generator have not been completed.",70,"Lacking comprehensive Operations, Maintenance & Testing framework",70,M2-G2,Maintenance Mission Set,Mission,Power,ALTUS AFB,AGGN,Resilience Gap
8,"Reportedly, full-load testing and hard drops on the MOC generator have not been completed.",25,Lacking vulnerability / resiliency / adequacy assessment,60,M2-G2,Maintenance Mission Set,Mission,Power,ALTUS AFB,AGGN,Resilience Gap
8,"Reportedly, full-load testing and hard drops on the MOC generator have not been completed.",18,Lacking or no access to adequate energy management / protocol / personnel / training,55,M2-G2,Maintenance Mission Set,Mission,Power,ALTUS AFB,AGGN,Resilience Gap
13,MOC has old generator due for replacement.,17,Asset is aged / lacking adequate performance,95,M2-G1,Maintenance Mission Set,Mission,Power,ALTUS AFB,AGGN,Resilience Gap
13,MOC has old generator due for replacement.,4,Generator requires adequate sizing / testing,75,M2-G1,Maintenance Mission Set,Mission,Power,ALTUS AFB,AGGN,Resilience Gap
13,MOC has old generator due for replacement.,1,Lacking backup power,65,M2-G1,Maintenance Mission Set,Mission,Power,ALTUS AFB,AGGN,Resilience Gap
13,MOC has old generator due for replacement.,20,Lacking or no access to parts / replacement assets,60,M2-G1,Maintenance Mission Set,Mission,Power,ALTUS AFB,AGGN,Resilience Gap
13,MOC has old generator due for replacement.,10,Lacking or requires upgrades to centralized asset / system,60,M2-G1,Maintenance Mission Set,Mission,Power,ALTUS AFB,AGGN,Resilience Gap
15," Capacity issues sometimes cause circuit breakers to trip on mission training computers at the 54 ARS annex facility.",14,Lacking adequate non-generator asset /system capacity,95,M1-G2,Operations Mission Set,Mission,Power,ALTUS AFB,AGGN,Resilience Gap
15," Capacity issues sometimes cause circuit breakers to trip on mission training computers at the 54 ARS annex facility.",39,Lacking electrical transmission distribution/connection systems,75,M1-G2,Operations Mission Set,Mission,Power,ALTUS AFB,AGGN,Resilience Gap
