prelim_gap_id,prelim_gap_description,gap_library_id,gap_library_description,relevancy_score,IEP Entry ID,Mission,Mission or Installation Wide,Resource Category,Installation(s),Installation_Cd,Gap_Or_Opportunity?,gap_id,Problem,GapToStrat_relatedness_score,strategy_id,General Solution Description ,TechToStrat_relevancy_score,technology_id,Technology,Cost Per Building Low ($),Cost Per Building High ($),Cost Estimation Logic,Installation,Strat_ID,Strategy / Capability,Scale,Impact_Potential,MSS3,% Impact_Potential,MAJCOM,Installation_Name,Million_BTU_FY24_AEPRR,Energy_Cost($),Total_Facility_SF,Building_Count,Combined_Relevency Score,Row_ID
1420,Electricity demand forecasting capabilities are limited.,18.0,Lacking or no access to adequate energy management / protocol / personnel / training,90.0,EGL5,_ALL INSTALLATION,Installation,Power,EGLIN AFB,FTFA,Not A Gap,18,Lacking or no access to adequate energy management / protocol / personnel / training,80.0,49.0,Priority Load-Shedding Protocol,90.0,12.0,Microgrid,75000.0,200000.0,"Development and implementation of automated load shedding systems. Includes controllers, switchgear, monitoring, and integration with microgrid controls.",Eglin,49,Priority Load-Shedding Protocol,Installation,76.91716032110253,96.69513470624534,0.7954605012421023,AFMC,EGLIN AFB,1319786.98,22593423.96,11794556.43,1214,81.0,1
1455,A base-wide SCADA system has not been fully implemented but is growing annually as part of the utility privatization.,18.0,Lacking or no access to adequate energy management / protocol / personnel / training,75.0,EGL2,_ALL INSTALLATION,Installation,Power,EGLIN AFB,FTFA,Resilience Opportunity,18,Lacking or no access to adequate energy management / protocol / personnel / training,80.0,49.0,Priority Load-Shedding Protocol,90.0,12.0,Microgrid,75000.0,200000.0,"Development and implementation of automated load shedding systems. Includes controllers, switchgear, monitoring, and integration with microgrid controls.",Eglin,49,Priority Load-Shedding Protocol,Installation,76.91716032110253,96.69513470624534,0.7954605012421023,AFMC,EGLIN AFB,1319786.98,22593423.96,11794556.43,1214,67.5,2
1687,The current hard drop testing methodology and procedure causes mission interruptions.,18.0,Lacking or no access to adequate energy management / protocol / personnel / training,80.0,FAI2,_ALL INSTALLATION,Installation,Backup Power,FAIRCHILD AFB,GJKZ,Resilience Gap,18,Lacking or no access to adequate energy management / protocol / personnel / training,80.0,49.0,Priority Load-Shedding Protocol,90.0,12.0,Microgrid,75000.0,200000.0,"Development and implementation of automated load shedding systems. Includes controllers, switchgear, monitoring, and integration with microgrid controls.",Fairchild,49,Priority Load-Shedding Protocol,Installation,2.941176470588235,2.941176470588235,1.0,AMC,FAIRCHILD AFB,388282.825371756,3399702.042408,4220487.0,266,72.0,3
1687,The current hard drop testing methodology and procedure causes mission interruptions.,18.0,Lacking or no access to adequate energy management / protocol / personnel / training,80.0,FAI2,_ALL INSTALLATION,Installation,Backup Power,FAIRCHILD AFB,GJKZ,Resilience Gap,18,Lacking or no access to adequate energy management / protocol / personnel / training,80.0,49.0,Priority Load-Shedding Protocol,90.0,12.0,Microgrid,75000.0,200000.0,"Development and implementation of automated load shedding systems. Includes controllers, switchgear, monitoring, and integration with microgrid controls.",Fairchild,49,Priority Load-Shedding Protocol,Installation,2.941176470588235,2.941176470588235,1.0,ANG,FAIRCHILD AFB (ANG),20765.59,257742.88,4220487.0,266,72.0,4
2212,Energy management is dependent on outside contractors.,18.0,Lacking or no access to adequate energy management / protocol / personnel / training,98.0,HILL6,_ALL INSTALLATION,Installation,Power,HILL AFB,KRSM,Resilience Gap,18,Lacking or no access to adequate energy management / protocol / personnel / training,80.0,49.0,Priority Load-Shedding Protocol,90.0,12.0,Microgrid,75000.0,200000.0,"Development and implementation of automated load shedding systems. Includes controllers, switchgear, monitoring, and integration with microgrid controls.",Hill,49,Priority Load-Shedding Protocol,Installation,66.66666666666667,88.8888889,0.7499999999062501,AFMC,HILL AFB,2318288.94474407,23348271.6214324,13155359.5,900,88.2,5
2214,Electricity demand forecasting capabilities are limited.,18.0,Lacking or no access to adequate energy management / protocol / personnel / training,90.0,HILL4,_ALL INSTALLATION,Installation,Power,HILL AFB,KRSM,Resilience Gap,18,Lacking or no access to adequate energy management / protocol / personnel / training,80.0,49.0,Priority Load-Shedding Protocol,90.0,12.0,Microgrid,75000.0,200000.0,"Development and implementation of automated load shedding systems. Includes controllers, switchgear, monitoring, and integration with microgrid controls.",Hill,49,Priority Load-Shedding Protocol,Installation,66.66666666666667,88.8888889,0.7499999999062501,AFMC,HILL AFB,2318288.94474407,23348271.6214324,13155359.5,900,81.0,6
2283,The base-wide SCADA system is not fully implemented but is progressing as part of the privatization.,18.0,Lacking or no access to adequate energy management / protocol / personnel / training,90.0,HILL5,_ALL INSTALLATION,Installation,Power,HILL AFB,KRSM,Resilience Gap,18,Lacking or no access to adequate energy management / protocol / personnel / training,80.0,49.0,Priority Load-Shedding Protocol,90.0,12.0,Microgrid,75000.0,200000.0,"Development and implementation of automated load shedding systems. Includes controllers, switchgear, monitoring, and integration with microgrid controls.",Hill,49,Priority Load-Shedding Protocol,Installation,66.66666666666667,88.8888889,0.7499999999062501,AFMC,HILL AFB,2318288.94474407,23348271.6214324,13155359.5,900,81.0,7
2299,Monitoring and metering capabilities are limited.,32.0,Lacking or no access to remote controls / operations,90.0,HILL3,_ALL INSTALLATION,Installation,Power,HILL AFB,KRSM,Resilience Opportunity,32,Lacking or no access to remote controls / operations,95.0,52.0,Installation-wide SCADA System (Energy),85.0,12.0,Microgrid,200000.0,500000.0,"Secure SCADA implementation integrated with microgrid controls. Includes secure remote access, monitoring, and control capabilities.",Hill,52,Installation-wide SCADA System (Energy),Installation,300.6452073233441,400.86027633091044,0.7500000001874999,AFMC,HILL AFB,2318288.94474407,23348271.6214324,13155359.5,900,76.5,8
2923,Generators are oversized for loads in many cases. ,18.0,Lacking or no access to adequate energy management / protocol / personnel / training,75.0,JBA7,_ALL INSTALLATION,Installation,Power,JB ANDREWS,AJXF,Resilience Gap,18,Lacking or no access to adequate energy management / protocol / personnel / training,80.0,49.0,Priority Load-Shedding Protocol,90.0,12.0,Microgrid,75000.0,200000.0,"Development and implementation of automated load shedding systems. Includes controllers, switchgear, monitoring, and integration with microgrid controls.",JB Andrews,49,Priority Load-Shedding Protocol,Installation,26.644736842105264,26.644736842105264,1.0,AFDW,JB ANDREWS,464049.37688646,11057615.5020173,6082490.0,357,67.5,9
2923,Generators are oversized for loads in many cases. ,18.0,Lacking or no access to adequate energy management / protocol / personnel / training,75.0,JBA7,_ALL INSTALLATION,Installation,Power,JB ANDREWS,AJXF,Resilience Gap,18,Lacking or no access to adequate energy management / protocol / personnel / training,80.0,49.0,Priority Load-Shedding Protocol,90.0,12.0,Microgrid,75000.0,200000.0,"Development and implementation of automated load shedding systems. Includes controllers, switchgear, monitoring, and integration with microgrid controls.",JB Andrews,49,Priority Load-Shedding Protocol,Installation,26.644736842105264,26.644736842105264,1.0,ANG,JB ANDREWS (ANG),30149.06,815044.5,6082490.0,357,67.5,10
