MAJCOM,Installation_Cd,Installation_Name,Million_BTU_FY24_AEPRR,Energy_Cost($),Total_Facility_SF,Building_Count
PACAF,FTQW,EIELSON AFB,4196407.63490587,12312654.6514136,4329543.38,336
AFMC,ZHTV,WRIGHT PATTERSON AFB,2594045.58262434,34414989.676644,16551138.02,595
AFMC,KRSM,HILL AFB,2318288.94474407,23348271.6214324,13155359.5,900
AFMC,ANZY,ARNOLD AIR STATION,2304902.2358,22435053,2957943.5,309
AFMC,WWYK,TINKER AFB,2187040.664283,22293459.3446271,18147939,389
AFMC,UHHZ,ROBINS AFB,1780929.2752022,28047792.43,13656449,495
PACAF,FXSB,JOINT BASE ELMENDORF-RICHARDSON (JBER),1664707.89411808,26575927.9919075,13518194,831
AFMC,FTFA,EGLIN AFB,1319786.98,22593423.96,11794556.43,1214
SPOC,TDKA,PETERSON SFB,1231514.48179127,31116650.0580566,6053138,397
PACAF,QKKA,MISAWA AB,1160951.135891,36723320.4859608,811181,283
PACAF,ZNRE,YOKOTA AB,1150765.4912,34681521.39,620864,161
PACAF,LXEZ,KADENA AB,1029293.837762,58648615.3899,7082424.37,1703
SPOC,CRWU,BUCKLEY SFB,999617.719175866,27253810.2425105,4782260.5,273
ACC,MUHJ,JB LANGLEY EUSTIS,928809.61505,23387675.4997165,11738615,656
USAFE,TYFR,RAMSTEIN AB,889091.14,50229396.49,7387354,960
USAFA,XQPZ,USAF ACADEMY,844377.8211,9704297.45,6819278,362
AFGSC,MHMV,KIRTLAND AFB,831184,10355065.29,8006008.63,711
ACC,RKMF,NELLIS AFB,775576.226317314,17186119.686,6790823,676
ACC,SGBP,OFFUTT AFB,771497.231,6655520.59,6663447,173
AFMC,FSPM,EDWARDS AIR FORCE BASE,765565.195823745,21574628.5004612,7140764.38,698
AMC,DKFX,JB CHARLESTON,733367.41014811,16496671.0222854,8571285.5,901
AMC,PTFL,JOINT BASE MCGUIRE-DIX-LAKEHURST (JBMDL),727135.937089461,13871686.76588,14435838.51,1133
SSC,SXHT,PATRICK SFB,690133.862066666,16206518.67,7470860,889
PACAF,VNMH,EARECKSON AIR STATION,646565.57,20133298.86,1872358.05,211
AETC,MAHG,KEESLER AFB,586726.474740436,8880670.56516378,6676181,230
AFMC,MXRD,HANSCOM AFB,580657.795135885,9936240.69642838,4915330,170
AFGSC,QJVF,MINOT AFB,579336.717421486,5596284.05574127,4379700,673
SSC,XUMU,VANDENBERG SFB,577265.249597805,25992280.242816,6270484,586
AETC,PNQS,MAXWELL AFB,573153.948540145,12401433.7246417,6287495,309
AFGSC,YWHG,WHITEMAN AFB,566849.647084,8637182.72,3990681,331
AMC,NVZR,MACDILL AFB,550345.333418841,12332633.0643854,5655065.5,292
PACAF,SMYU,OSAN AB,534874.0259866,15029488.7779641,7320631,713
AETC,VNVP,SHEPPARD AFB,508229.25970652,7973556.57,7184558,339
USAFE,MSET,RAF LAKENHEATH,499832.235785,21212187.0526718,5055359,901
AFSOC,FTEV,HURLBURT FIELD,488573.580684,11278575.78,4968013,395
AMC,VDYD,SCOTT AFB,485301.5213,10932674.8,5943944.45,295
AFGSC,NZAS,MALMSTROM AFB,484720.887196763,6786282.999992,3188323.92,415
AMC,NKAK,LITTLE ROCK AFB,465461.62,6282534.72,3966657,319
AFDW,AJXF,JB ANDREWS,464049.37688646,11057615.5020173,6082490,357
AFGSC,FXBM,ELLSWORTH AFB,439538.269766649,2373565.65377593,4180150,304
AETC,KWRD,HOLLOMAN AFB,439402.30116,4813558.7630856,5620111,471
SPOC,GLEN,SCHRIEVER SFB,432297.628576145,8265389.32666161,2249100,133
AMC,FJXT,DOVER AFB,404725.86965,7161633.14,3865854,200
AMC,GJKZ,FAIRCHILD AFB,388282.825371756,3399702.042408,4220487,266
AMC,XDAT,TRAVIS AFB,388112.406938489,12097679.3876227,6568111,364
AFGSC,AWUB,BARKSDALE AFB,379704,7026298.30930572,5062713.8,426
USAFE,VYHK,SPANGDAHLEM AB,359515.203056349,11071797.7604854,2786150.4,427
AFSOC,CZQZ,CANNON AFB,347992.03772664,3602533.19852081,3391704,267
ACC,FBNV,DAVIS-MONTHAN AFB,338666.2512,9347056.48,4965935,467
AFGSC,FNWZ,DYESS AFB,329979.187957888,2969062.53563145,3369821,266
AFDW,JBAB,JB ANACOSTIA BOLLING,328952.995255747,14434783.527,4722006,216
ACC,QYZH,MOUNTAIN HOME AFB,322083.384649954,5029598.87874515,2897324,279
AFGSC,GHLN,FRANCIS E WARREN AFB,303479.96835984,4539936.32792259,3551027,454
ACC,BAEY,BEALE AFB,299365.360755613,7191994.68007887,3240612,274
PACAF,MLWR,KUNSAN AB,298915.995420753,9851525.60177348,2618588.05,376
AMC,PRQE,MCCONNELL AFB,297336.67667662,4087370.01,3300273,213
USAFE,ASHE,AVIANO AB,278254.2399664,12121937.0157117,1470866,189
ACC,XLWU,TYNDALL AFB,274332.10237504,7271955.4748722,2162023,267
AETC,NUEX,LUKE AFB,265750.2312172,6285545.12572096,4253396.08,417
AETC,AGGN,ALTUS AFB,259082.315328877,3602602.98366349,2266885.21,161
ACC,VKAG,SEYMOUR JOHNSON AFB,258279.1296776,5043775.65758719,3253164,338
AETC,JCGU,GOODFELLOW AFB,240896.156298762,4672261.7123049,2638832,165
ACC,JFSD,GRAND FORKS AFB,240365.1579,2757412.95,2708253,167
USAFE,LJYC,INCIRLIK AB ADANA,235609.071513833,8690682.57083182,4830390,749
USAFE,QFQE,RAF MILDENHALL,234517.191405576,10828009.1320982,1684945,252
ACC,VLSB,SHAW AFB,226401.809,6647642.92,3390372.28,302
ACC,QSEU,MOODY AFB,180907.9328,3775681,3256578,400
ANG,VGLZ,SELFRIDGE ANG BASE,177581.386144,2315463.39,1974012,219
AFRC,YTPM,WESTOVER AIR RESERVE BASE,162355.573468,3394507.89,1608082,102
AETC,EEPZ,COLUMBUS AFB,145088.274384,2674955.98441074,1637766,183
USAFE,AEDY,RAF ALCONBURY,139816.376713162,7387968.19087512,1153207,204
AETC,MXDP,LAUGHLIN AFB,133489.502952,2521522.59,1750672.875,194
ACC,LKTC,CREECH AFB,131098.9343,3938123,1163771,143
AETC,XTLF,VANCE AFB,125281.668420431,1665386.96884582,1495658,136
AFRC,PDPG,MARCH AIR RESERVE BASE,90267.541,2817905,2699544,204
AFRC,FGWB,DOBBINS AIR RESERVE BASE,89603.4963940764,1801768.64164174,1467092,124
AFRC,CTGB,GRISSOM AIR RESERVE BASE,88330.24755024,1589000.86,1067559,93
ANG,FXSB,JB ELMENDORF RICHARDSON,83209.09,1552586.28,13518194,831
ANG,PSXE,MCGHEE TYSON AIRPORT,82250.871076,1749999.58,890894,69
AFRC,ZQEL,YOUNGSTOWN-WARREN REGIONAL AIRPORT ARS,73498.0684241087,1183699.55,825475,82
AFRC,RVKQ,NIAGARA FALLS IAP-AIR RESERVE STATION,68177.9490789983,845978.0558139,1063603,100
ANG,WHAY,STEWART INTERNATIONAL AIRPORT,68143.16,1661004.38,721526,47
SSC,ACJP,LOS ANGELES SFB,67189.41,3694928.04,1309561,64
ANG,JLSQ,PITTSBURGH INTERNATIONAL AIRPORT (ANG),65955.059424408,765431.35,445024,39
AFRC,QJKL,MINNEAPOLIS-ST PAUL IAP-AIR RESERVE STN,63306.9980120521,1147264.73,1168672,86
USAFE,EXSW,RAF CROUGHTON,63141.32637062,3083934.41996699,994298,415
ANG,UHHZ,ROBINS AFB (ANG),61988.79,1015375.39,13656449,495
ANG,SZCQ,PEASE INTERNATIONAL TRADEPORT,58855.1271604,1918257.04,563299,47
ANG,PJVY,EWVRA SHEPHERD FIELD ANG,58632.890252,1165925.19,645874,33
ANG,TQKD,PORTLAND INTERNATIONAL AIRPORT,57492.8248,1414016.31,762111,65
AFRC,JLSS,PITTSBURGH IAP-AIR RESERVE STN,57100.4015444,909115.88,706411,64
ANG,HAAW,SYRACUSE HANCOCK FIELD ANG,57012.05666,819524.02,519525,49
ANG,CRWU,BUCKLEY AFB (ANG),56480.43,980450.2,4782260.5,273
ANG,SPBN,OTIS AIR NATIONAL GUARD BASE,55250.872336,2114884.26,911473,71
ANG,PTFL,JB MCGUIRE-DIX-LAKEHURST,52999.7763590455,1345521.39,14435838.51,1133
ANG,PRQE,MCCONNELL AFB (ANG),52993.90262808,859744.34,3300273,213
AFRC,KYJM,HOMESTEAD AIR RESERVE BASE,52637.391596,2195743.03665,1254417,130
ANG,PYKL,MEMPHIS INTERNATIONAL AIRPORT,51818.863111009,967521.26,598470,19
ANG,AQRC,ATLANTIC CITY INTERNATIONAL AIRPORT,49992.2345238636,1224446.56,468670,47
ANG,LRXQ,JACKSON INTERNATIONAL AIRPORT,49831.6573079918,1133817.23,531025,27
ANG,WYTD,TOLEDO EXPRESS AIRPORT ANG,48575.393972,652199.9,425335,46
ANG,FMKM,DULUTH INTERNATIONAL AIRPORT (ANG),48548.88,1070429.54,439421,39
ANG,XGFG,TRUAX FIELD-DANE COUNTY REGIONAL AIRPORT,47636.7584,1094333.97,805632.87,54
USAFE,GKVB,RAF FAIRFORD,46213.3,2224173.42,635362,167
ANG,XHEA,MORRIS ANGB,45105.81087628,1530686.2,616615.06,44
ANG,TDVG,ALPENA COUNTY REGIONAL AIRPORT,44477.012754,774596.93,535849,95
ANG,FKNN,BANGOR INTERNATIONAL AIRPORT (ANG),43350.056754,1181231.79,551186,48
ANG,YAQF,VOLK FIELD,43236.74,715284.95,626328,141
ANG,MBMV,W K KELLOGG AIRPORT,43085.47,801123.2,407580,39
ANG,TWLR,QUONSET STATE AIRPORT ANG,41427.85794,941332.83,435115,31
ANG,FAKZ,MONTGOMERY REGIONAL AIRPORT (ANG) BASE,40717.9073,1186870.84,482232,43
