MAJCOM,Installation_Cd,A_ID,AEPRR_Installation_Name,D_ID,DERA_Installation_Name,GI_ID,P_Gap_Installation_Name,P_ID,PMR_M_E_Installation_Name,Included in PMR M#E?,PI_ID,Priority_List_Installation_Name,SAF Priority ID,OSD Priority ID,Installation_REAF,Installation_Max,AFIMSC_Installation,IMSC_ID,AFIMSC_Tier_1_2
ANG,DCFT,A1,ABRAHAM LINCOLN CAPITAL AIRPORT,D1,ABRAHAM LINCOLN CAPITAL AP,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ANG,TDVG,A2,ALPENA COUNTY REGIONAL AIRPORT,D6,ALPENA CO REGIONAL AP,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AETC,AGGN,A3,ALTUS AFB,D7,ALTUS AFB,GI1,ALTUS AFB,P1,Altus Air Force Base,0,NULL,NULL,NULL,NULL,Altus Air Force Base,Altus Air Force Base,ALTUS AFB,3,2
AFMC,ANZY,A4,ARNOLD AIR STATION,D8,ARNOLD AFB,GI2,ARNOLD AFB,NULL,NULL,0,PI2,Arnold AFB,1,0,Arnold,Arnold,ARNOLD AFB,6,1
ANG,AQRC,A5,ATLANTIC CITY INTERNATIONAL AIRPORT,D9,ATLANTIC CITY IAP,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
USAFE,ASHE,A6,AVIANO AB,D10,AVIANO AB,GI3,AVIANO AB,P39,Aviano AB,1,NULL,NULL,NULL,NULL,Aviano AB,Aviano AB,AVIANO AB,8,2
AFGSC,AWUB,A8,BARKSDALE AFB,D12,BARKSDALE AFB,GI4,BARKSDALE AFB,P36,Barkesdale,1,PI3,Barksdale AFB,2,0,Barksdale,Barksdale,BARKSDALE AFB,10,1
ANG,AXQD,A9,BARNES MUNICIPAL AIRPORT ANG,D13,BARNES MAP,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ACC,BAEY,A10,BEALE AFB,D14,BEALE AFB,GI5,BEALE AFB,P17,Beale,1,PI4,Beale Air Force Base (AFB),0,9,Beale,Beale,BEALE AFB,11,1
SPOC,CRWU,A14,BUCKLEY SFB,D17,BUCKLEY SFB,GI6,BUCKLEY SFB,P33,Buckley,1,NULL,NULL,NULL,NULL,Buckley,Buckley,BUCKLEY SFB,12,1
ANG,ETRD,A17,CAMP MURRAY ANG STATION,D20,CAMP MURRAY AGS,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AFSOC,CZQZ,A19,CANNON AFB,D22,CANNON AFB,GI7,CANNON AFB,P7,Cannon AFB,0,NULL,NULL,NULL,NULL,Cannon,Cannon,CANNON AFB,13,2
ANG,DDPM,A20,CARSWELL AIR RESERVE STATION,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,PG1,NULL,CAVALIER SFS,NULL,NULL,GI10,CAVALIER SFS,NULL,NULL,0,NULL,NULL,NULL,NULL,Cavalier,Cavalier,CAVALIER SFS,16,1
ANG,DJCF,A21,CHANNEL ISLANDS ANG STATION,D23,CHANNEL ISLANDS ANGS,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
SPOC,SAXC,A23,CHEYENNE MOUNTAIN AFS,NULL,NULL,GI11,CHEYENNE MTN SFS,P12,Cheyenne Mt,1,NULL,NULL,NULL,NULL,Cheyenne Mountain,Cheyenne Mountain,CHEYENNE MOUNTAIN,17,1
ANG,DPEZ,A24,CHEYENNE REGIONAL AIRPORT,D25,CHEYENNE REGIONAL AP,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,PG2,NULL,CLEAR SFS,NULL,NULL,GI12,CLEAR SFS,NULL,NULL,0,NULL,NULL,NULL,NULL,Clear,Clear,CLEAR SFS -1,18,1
AETC,EEPZ,A25,COLUMBUS AFB,D26,COLUMBUS AFB,NULL,NULL,P13,Columbus AFB,0,NULL,NULL,NULL,NULL,NULL,NULL,COLUMBUS AFB,20,2
ACC,LKTC,A26,CREECH AFB,D27,CREECH AFB,GI13,CREECH AFB,P6,Creech,1,PI6,Creech Air Force Base (AFB),0,52,Creech,Creech,CREECH AFB,21,1
ACC,FBNV,A27,DAVISMONTHAN AFB,D29,DAVIS MONTHAN AFB,GI14,DAVIS MONTHAN AFB,NULL,NULL,0,PI7,DavisMonthan AFB,4,0,Davis-Monthan,Davis-Monthan,DAVIS-MONTHAN AFB,22,1
ANG,FFAN,A28,DES MOINES INTERNATIONAL AIRPORT ANG,D30,DES MOINES IAP,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AFRC,FGWB,A29,DOBBINS AIR RESERVE BASE,D31,DOBBINS ARB,GI15,DOBBINS ARB,NULL,NULL,0,NULL,NULL,NULL,NULL,Dobbins ARB,Dobbins ARB,NULL,NULL,NULL
AMC,FJXT,A30,DOVER AFB,D32,DOVER AFB,GI16,DOVER AFB,NULL,NULL,0,PI8,Dover AFB,17,0,Dover,Dover,DOVER AFB,23,1
AFGSC,FNWZ,A32,DYESS AFB,D34,DYESS AFB,GI17,DYESS AFB,P47,Dyess,1,PI9,Dyess Air Force Base (AFB),0,68,NULL,NULL,DYESS AFB,24,1
PACAF,VNMH,A33,EARECKSON AIR STATION,D35,EARECKSON AS,GI18,EARECKSON AIR STATION,P2,Eareckson,1,NULL,NULL,NULL,NULL,Eareckson,Eareckson,EARECKSON AS,25,1
AFMC,FSPM,A34,EDWARDS AIR FORCE BASE,D36,EDWARDS AFB,GI19,EDWARDS AFB,P54,Edwards,1,NULL,NULL,NULL,NULL,Edwards,Edwards,EDWARDS AFB,26,2
AFMC,FTFA,A35,EGLIN AFB,D37,EGLIN AFB,GI20,EGLIN AFB,P34,Eglin Main,1,PI10,Eglin Air Force Base (AFB),0,24,Eglin,Eglin,EGLIN AFB,27,1
PACAF,FTQW,A36,EIELSON AFB,D38,EIELSON AFB,GI21,EIELSON AFB,P68,Eielson,1,PI11,Eielson AFB,5,0,Eielson,Eielson,EIELSON AFB,28,1
ANG,FWJH,A38,ELLINGTON FIELD,D39,ELLINGTON FIELD,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AFGSC,FXBM,A39,ELLSWORTH AFB,D40,ELLSWORTH AFB,GI22,ELLSWORTH AFB,P21,Ellsworth AFB,0,NULL,NULL,NULL,NULL,Ellsworth,Ellsworth,ELLSWORTH AFB,29,2
ANG,GAMN,A40,ENGLAND INDUSTRIAL PARK,D41,ENGLAND INDUSTRIAL AIRPARK,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ANG,PJVY,A41,EWVRA SHEPHERD FIELD ANG,D42,EWVRA SHEPHERD FIELD,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AMC,GJKZ,A42,FAIRCHILD AFB,D43,FAIRCHILD AFB,GI23,FAIRCHILD AFB,NULL,NULL,0,NULL,NULL,NULL,NULL,Fairchild,Fairchild,FAIRCHILD AFB,31,2
ANG,GUQE,A44,FORBES FIELD ANG,D44,FORBES FIELD,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ANG,LKLW,A45,FORT INDIANTOWN GAP ANG STATION,D45,FORT INDIANTOWN GAP AGS,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ANG,HKRZ,A46,FORT SMITH MUNICIPAL AIRPORT ANG,D50,FT SMITH MAP,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ANG,ATQZ,A47,FORT WAYNE INTERNATIONAL AIRPORT,D46,FORT WAYNE IAP,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
